,Title,Year
0,Batman Begins,2005
1,The Batman,2022
2,Batman v Superman: Dawn of Justice,2016
3,Batman v Superman: Dawn of Justice,2016
4,Batman,1989
5,Batman Returns,1992
6,Batman Forever,1995
7,Batman & Robin,1997
8,The Lego Batman Movie,2017
9,Batman: The Animated Series,1992–1995
10,Batman v Superman: Dawn of Justice (Ultimate Edition),2016
11,Batman: The Killing Joke,2016
12,Batman: Mask of the Phantasm,1993
13,Batman: Under the Red Hood,2010
14,"Batman: The Dark Knight Returns, Part 1",2012
15,"Batman: The Dark Knight Returns, Part 2",2013
16,Batman: The Movie,1966
17,Son of Batman,2014
18,Batman Beyond,1999–2001
19,Batman: Year One,2011
20,Batman: Assault on Arkham,2014
21,Batman,1966–1968
22,Batman: Gotham Knight,2008
23,Batman: Arkham City,2011
24,Superman/Batman: Apocalypse,2010
25,Batman Beyond: Return of the Joker,2000
26,Batman Ninja,2018
27,"Batman: The Long Halloween, Part One",2021
28,Superman/Batman: Public Enemies,2009
29,Batman: Bad Blood,2016
30,The New Batman Adventures,1997–1999
31,Batman vs. Robin,2015
32,Batman: Arkham Asylum,2009
33,Batman: Gotham by Gaslight,2018
34,"Batman: The Long Halloween, Part Two",2021
35,Batman and Harley Quinn,2017
36,Batman: Caped Crusader,2024–
37,Batman: Hush,2019
38,The Batman,2004–2008
39,Batman & Mr. Freeze: SubZero,1998
40,Batman Begins,2005
41,Batman: Arkham Origins,2013
42,Batman: Mystery of the Batwoman,2003
43,Batman: The Brave and the Bold,2008–2011
44,The Batman Superman Movie: World's Finest,1997
45,Batman vs Teenage Mutant Ninja Turtles,2019
46,The Batman vs. Dracula,2005
47,Batman: Arkham Knight,2015
48,Batman: Soul of the Dragon,2021
49,Batman: Return of the Caped Crusaders,2016
50,Batman Beyond: The Movie,1999
51,Batman: Dead End,2003
52,Lego Batman: The Movie - DC Super Heroes Unite,2013
53,Beware the Batman,2013–2014
54,Merry Little Batman,2023
55,Batman vs. Two-Face,2017
56,Batman: The Long Halloween,2021
57,Batman: The Telltale Series,2016
58,Batman Unlimited: Animal Instincts,2015
59,Scooby-Doo & Batman: The Brave and the Bold,2018
60,Lego Batman: The Videogame,2008
61,Batman,1943
62,Batman Unlimited: Monster Mayhem,2015
63,Batman Beyond,2014
64,Batman & Bill,2017
65,Batman and Robin,1949
66,Batman and Robin,1949
67,Batman: The Dark Knight,2008
68,Lego Batman 2: DC Super Heroes,2012
69,Batman: Strange Days,2014
70,Batman: Death in the Family,2020
71,Lego DC Comics: Batman Be-Leaguered,2014
72,The Adventures of Batman,1968–1969
73,Lego DC Batman: Family Matters,2019
74,Batman Unlimited: Mechs vs. Mutants,2016
75,The New Adventures of Batman,1977–1978
76,Batman: The Dark Knight Returns,2013
77,Lego Batman 3: Beyond Gotham,2014
78,Batman vs Joker: Final Joke,2008
79,Aztec Batman: Clash of Empires,2025
80,The Death of Batman,2003
81,Scooby-Doo Meets Batman,1972
82,Batman Unlimited,2015–2016
83,"Superman, Spiderman or Batman",2011
84,Batman Unmasked,2008
85,Batman: Arkham Knight,2015
86,Batman: Arkham Origins - Blackgate,2013
87,Batman Legends,2006
88,Batman: Black and White,2008–2009
89,Batman: Rise of Sin Tzu,2003
90,Batman: Vengeance,2001
91,Batman: New Times,2005
92,The Batman Chronicles,2014
93,Legends of the Dark Knight: The History of Batman,2005
94,"Batman: Arkham Origins - Cold, Cold Heart",2014
95,Batman Dracula,1964
96,Batman Beyond,2015–
97,Batman: The Journey Begins,2005
98,Alyas Batman en Robin,1991
99,Heart of Batman,2018
100,Batman,1989
101,Batman Tech,2008
102,Batman Returns,1992
103,Batman: Ashes to Ashes,2009
104,Batman Is Just Not That Into You,2017
105,Batman Forever: The Arcade Game,1996
106,Batman: The Tumbler,2005
107,Batman Beyond,2000
108,Batman Begins: Path to Discovery,2005
109,Behind the Mask: The Batman Dead End Story,2015
110,Batman Beyond: Year One,2024
111,The Adventures of Batman & Robin,1994
112,Batman Fights Dracula,1967
113,James Batman,1966
114,Fat Man on Batman with Kevin Smith & Marc Bernardin!,2015–
115,Batman: The Long Halloween,2015
116,Batman Arkham City: Harley Quinn's Revenge,2012
117,Batman Revealed,2012
118,Riddle Me This: Why Is Batman Forever?,1995
119,Batman Adventures: Mad Love,2008
120,Batman: Arkham VR,2016
121,Batman & Robin,1998
122,Superman vs. Batman: When Heroes Collide,2013
123,Batman: Death Wish,2012
124,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Batman Unbound,2005
125,Lego Batman vs. Superman,2014
126,Batman: The Enemy Within,2017
127,Batman: Anarchy,2016
128,Batman: Abyss,2013–
129,Star Trek Versus Batman,2006
130,Batman,2006
131,Batman: Dark Tomorrow,2003
132,Batman: Revenge of the Joker,1992
133,The Oath: A Batman Fan Film,2022
